,Artista,Palavras únicas,Nº de Canções,ratio_unique,Calão (média),Calão (mediana),Calão (máx),Misoginia (média),Misoginia (total),Misoginia (máx),Pontuação Final de Misoginia/Nº palavras,Pontuação Final de Misoginia/Canção
0,9 Miller,1900,12,158.33333333333334,17.67,14.0,44,6.83,82,21,0.0431578947368421,6.833333333333333
1,Agir,1032,26,39.69230769230769,1.38,0.0,13,0.0,0,0,0.0,0.0
2,Alcool Club,3027,29,104.37931034482759,6.03,3.0,30,2.1,61,20,0.02015196564255038,2.103448275862069
3,Allen Halloween,3259,37,88.08108108108108,11.95,5.0,88,3.03,112,22,0.03436637005216324,3.027027027027027
4,Bispo,3743,43,87.04651162790698,8.77,6.0,70,0.3,13,3,0.003473149879775581,0.3023255813953488
5,Boss AC,4253,46,92.45652173913044,2.17,1.0,23,0.52,24,9,0.005643075476134493,0.5217391304347826
6,Carlão (PacMan),1292,15,86.13333333333334,4.73,0.0,50,0.33,5,2,0.003869969040247678,0.3333333333333333
7,Chico da Tina,1663,14,118.78571428571429,12.36,9.5,48,2.79,39,15,0.02345159350571257,2.7857142857142856
8,Classe Crua,1728,10,172.8,5.4,3.5,18,2.6,26,12,0.015046296296296295,2.6
9,Conjunto Corona,1396,25,55.84,5.08,2.0,29,1.68,42,15,0.03008595988538682,1.68
10,Cálculo,1707,14,121.92857142857143,4.21,1.0,20,0.43,6,3,0.0035149384885764497,0.42857142857142855
11,Da Weasel,2975,35,85.0,3.37,2.0,23,0.46,16,3,0.005378151260504202,0.45714285714285713
12,Dealema,5179,37,139.97297297297297,4.65,2.0,23,0.7,26,8,0.005020274184205445,0.7027027027027027
13,Dillaz,3741,34,110.02941176470588,6.65,5.0,34,1.76,60,26,0.01603849238171612,1.7647058823529411
14,Estraca,1792,13,137.84615384615384,3.62,2.0,17,0.69,9,7,0.005022321428571429,0.6923076923076923
15,Força Suprema,1812,16,113.25,7.06,5.5,24,0.5,8,3,0.004415011037527594,0.5
16,Fínix MG,1613,12,134.41666666666666,6.33,5.0,14,1.5,18,5,0.011159330440173589,1.5
17,GROGNation,4349,30,144.96666666666667,7.37,5.0,48,1.93,58,9,0.0133363991722235,1.9333333333333333
18,Holly Hood,1501,11,136.45454545454547,5.73,5.0,19,0.45,5,3,0.0033311125916055963,0.45454545454545453
19,Jimmy P,3184,42,75.80952380952381,2.31,0.0,17,0.4,17,8,0.005339195979899497,0.40476190476190477
20,Kappa Jotta,2329,19,122.57894736842105,7.47,3.0,58,3.26,62,54,0.026620867325032202,3.263157894736842
21,Keso,2251,23,97.8695652173913,5.57,4.0,36,0.78,18,14,0.007996446023989337,0.782608695652174
22,LON3R JOHNY,1228,36,34.111111111111114,2.47,0.0,42,0.08,3,3,0.0024429967426710096,0.08333333333333333
23,Mike El Nite,2876,21,136.95238095238096,5.19,4.0,19,0.95,20,8,0.006954102920723227,0.9523809523809523
24,NGA,2806,34,82.52941176470588,8.94,5.5,127,0.68,23,6,0.00819672131147541,0.6764705882352942
25,Papillon,2251,16,140.6875,5.69,4.5,25,1.5,24,10,0.010661928031985785,1.5
26,Phoenix RDC,6050,68,88.97058823529412,9.12,6.0,51,1.87,127,24,0.02099173553719008,1.8676470588235294
27,Piruka,2564,30,85.46666666666667,6.8,5.5,18,0.3,9,4,0.0035101404056162248,0.3
28,Plutonio,2013,21,95.85714285714286,3.24,1.0,21,0.86,18,9,0.00894187779433681,0.8571428571428571
29,ProfJam,4711,48,98.14583333333333,7.12,4.0,78,2.27,109,66,0.023137338144767566,2.2708333333333335
30,Regula,4756,40,118.9,8.02,6.0,28,1.5,60,10,0.012615643397813289,1.5
31,Sam The Kid,5296,57,92.91228070175438,5.44,2.0,36,0.72,41,9,0.007741691842900302,0.7192982456140351
32,SippinPurpp,761,10,76.1,5.4,2.0,22,0.7,7,5,0.009198423127463863,0.7
33,Sir Scratch (PRT),1761,16,110.0625,1.88,1.0,6,0.31,5,3,0.0028392958546280523,0.3125
34,Slow J,1508,25,60.32,2.84,0.0,19,0.12,3,3,0.001989389920424403,0.12
35,Valas,851,12,70.91666666666667,2.17,0.5,9,0.67,8,8,0.009400705052878966,0.6666666666666666
36,Valete,6536,53,123.32075471698113,6.02,3.0,29,1.17,62,24,0.009485924112607099,1.169811320754717
37,Waze,1228,12,102.33333333333333,1.92,1.0,6,0.0,0,0,0.0,0.0
38,Wet Bed Gang,3037,26,116.8076923076923,8.12,5.0,25,1.0,26,6,0.008561080013170892,1.0
39,X-Tense,2210,17,130.0,9.24,7.0,24,0.71,12,5,0.005429864253393665,0.7058823529411765
40,Xeg,4769,42,113.54761904761905,7.64,3.0,113,3.0,126,81,0.026420633256447893,3.0
