,Artista,Calão (média),Pontuação mediana de calão,Calão (máx),Misoginia (média),Pontuação mediana de misoginia,Misoginia (máx)
0,5-30,6.0,5.0,14,3.1666666666666665,0.0,12
1,9 Miller,18.1,15.5,44,5.8,3.5,21
2,Agir,2.037037037037037,0.0,23,0.0,0.0,0
3,Alcool Club,6.466666666666667,4.0,30,1.7666666666666666,0.0,20
4,Allen Halloween,12.131578947368421,5.5,88,2.4210526315789473,0.0,19
5,Bispo,9.727272727272727,7.0,72,0.29545454545454547,0.0,3
6,Boss AC,3.75,2.5,28,0.5,0.0,9
7,Carlão (PacMan),4.75,0.5,50,0.3125,0.0,2
8,Chico da Tina,12.266666666666667,10.0,53,2.6,0.0,15
9,Classe Crua,5.090909090909091,4.0,18,2.1818181818181817,0.0,12
10,Conjunto Corona,5.1923076923076925,1.5,29,1.6153846153846154,0.0,15
11,Cálculo,4.8,2.0,21,0.26666666666666666,0.0,3
12,Da Weasel,4.513513513513513,3.0,41,0.32432432432432434,0.0,3
13,Dealema,5.871794871794871,3.0,52,0.6666666666666666,0.0,8
14,Deejay Telio,11.75,0.0,150,7.7,0.0,150
15,Deezy (Dope Muzik),5.333333333333333,4.5,12,0.0,0.0,0
16,Dillaz,6.527777777777778,4.5,37,1.5277777777777777,0.0,26
17,Estraca,4.142857142857143,2.5,20,0.5,0.0,7
18,Força Suprema,8.941176470588236,7.0,38,0.47058823529411764,0.0,3
19,Fínix MG,9.76923076923077,10.0,19,1.3846153846153846,0.0,5
20,GROGNation,8.129032258064516,5.0,49,1.8387096774193548,0.0,9
21,Gson,2.0,2.0,4,0.0,0.0,0
22,Holly Hood,8.777777777777779,7.0,21,0.3333333333333333,0.0,3
23,Jimmy P,3.302325581395349,1.0,18,0.4186046511627907,0.0,8
24,Kappa Jotta,8.65,4.0,61,3.0,0.0,54
25,Keso,5.96,4.0,36,0.88,0.0,14
26,LON3R JOHNY,2.6486486486486487,0.0,42,0.08108108108108109,0.0,3
27,Mike El Nite,6.933333333333334,7.0,18,0.4666666666666667,0.0,3
28,NGA,10.142857142857142,6.0,129,1.0,0.0,10
29,Nerve,6.0,3.0,26,0.7241379310344828,0.0,9
30,Papillon,7.5,7.5,27,1.0,0.0,6
31,Phoenix RDC,10.028985507246377,8.0,53,1.855072463768116,0.0,24
32,Piruka,6.806451612903226,5.0,20,0.1935483870967742,0.0,3
33,Plutonio,3.6363636363636362,1.5,22,0.8181818181818182,0.0,9
34,Prodígio,4.666666666666667,2.5,17,0.43333333333333335,0.0,9
35,ProfJam,8.408163265306122,6.0,78,2.2653061224489797,0.0,66
36,ProfJam x benji price,13.833333333333334,11.5,30,2.3333333333333335,1.5,7
37,Regula,9.292682926829269,8.0,30,1.4634146341463414,0.0,10
38,Sam The Kid,6.016949152542373,2.0,36,0.711864406779661,0.0,9
39,SippinPurpp,8.222222222222221,6.0,22,0.5555555555555556,0.0,5
40,Sir Scratch (PRT),1.2857142857142858,1.0,4,0.0,0.0,0
41,Slow J,2.9615384615384617,0.0,19,0.11538461538461539,0.0,3
42,Tóy Tóy T-Rex,5.611111111111111,4.5,18,0.1111111111111111,0.0,2
43,Vado Más Ki Ás,8.11111111111111,6.0,33,0.8888888888888888,0.0,8
44,Valas,1.8,1.0,8,0.8,0.0,8
45,Valete,4.8,2.0,22,0.8571428571428571,0.0,9
46,Waze,3.4615384615384617,3.0,8,0.0,0.0,0
47,Wet Bed Gang,9.176470588235293,7.0,24,1.0,0.0,6
48,X-Tense,9.722222222222221,8.0,24,0.6666666666666666,0.0,5
49,Xeg,8.363636363636363,3.0,113,2.840909090909091,0.0,81
